日付,振込内容,振込先,手数料,銀行名,備考
2026-01-27,管理費・修繕積立金,葛西マンション管理組合,440,三菱UFJ銀行,1月分
2026-02-27,管理費・修繕積立金,葛西マンション管理組合,440,三菱UFJ銀行,2月分
2026-03-27,管理費・修繕積立金,葛西マンション管理組合,440,三菱UFJ銀行,3月分
2026-03-31,税理士報酬（第1四半期）,山田税理士事務所,440,三菱UFJ銀行,設備分離相談料含む
2026-04-27,管理費・修繕積立金,葛西マンション管理組合,440,三菱UFJ銀行,4月分
2026-05-27,管理費・修繕積立金,葛西マンション管理組合,440,三菱UFJ銀行,5月分
2026-06-27,管理費・修繕積立金,葛西マンション管理組合,440,三菱UFJ銀行,6月分
2026-06-30,固定資産税（第1期）,江戸川区役所,0,口座振替,口座引落のため手数料なし
2026-07-27,管理費・修繕積立金,葛西マンション管理組合,440,三菱UFJ銀行,7月分
2026-08-27,管理費・修繕積立金,葛西マンション管理組合,440,三菱UFJ銀行,8月分
2026-09-27,管理費・修繕積立金,葛西マンション管理組合,440,三菱UFJ銀行,9月分
2026-09-30,固定資産税（第2期）,江戸川区役所,0,口座振替,口座引落のため手数料なし
2026-10-27,管理費・修繕積立金,葛西マンション管理組合,440,三菱UFJ銀行,10月分
2026-11-27,管理費・修繕積立金,葛西マンション管理組合,440,三菱UFJ銀行,11月分
2026-12-27,管理費・修繕積立金,葛西マンション管理組合,440,三菱UFJ銀行,12月分
2026-12-31,税理士報酬（年間精算）,山田税理士事務所,440,三菱UFJ銀行,確定申告準備費用
